"device_id","alert_timestamp","alert_level","alerts","sensor_readings","ttl"
"device-001","2026-01-15T09:15:07.837Z","CRITICAL","[{""M"":{""threshold"":{""N"":""20""},""type"":{""S"":""CRITICAL""},""message"":{""S"":""Soil moisture critically low (18.0%). Plant needs immediate watering!""},""value"":{""N"":""18""},""parameter"":{""S"":""Soil Moisture""}}}]","{""temperature"":{""N"":""32""},""humidity"":{""N"":""55""},""light_intensity"":{""N"":""1200""},""soil_moisture"":{""N"":""18""}}","1771060510"
"device-001","2026-01-15T10:09:01.580Z","CRITICAL","[{""M"":{""threshold"":{""N"":""20""},""type"":{""S"":""CRITICAL""},""message"":{""S"":""Soil moisture critically low (18.0%). Plant needs immediate watering!""},""value"":{""N"":""18""},""parameter"":{""S"":""Soil Moisture""}}}]","{""temperature"":{""N"":""32""},""humidity"":{""N"":""55""},""light_intensity"":{""N"":""1200""},""soil_moisture"":{""N"":""18""}}","1771063744"
"device-001","2026-01-15T10:18:39.935Z","CRITICAL","[{""M"":{""threshold"":{""N"":""20""},""type"":{""S"":""CRITICAL""},""message"":{""S"":""Soil moisture critically low (18.0%). Plant needs immediate watering!""},""value"":{""N"":""18""},""parameter"":{""S"":""Soil Moisture""}}}]","{""temperature"":{""N"":""32""},""humidity"":{""N"":""55""},""light_intensity"":{""N"":""1200""},""soil_moisture"":{""N"":""18""}}","1771064322"
"device-001","2026-01-15T10:25:56.113Z","CRITICAL","[{""M"":{""threshold"":{""N"":""20""},""type"":{""S"":""CRITICAL""},""message"":{""S"":""Soil moisture critically low (0.0%). Plant needs immediate watering!""},""value"":{""N"":""0""},""parameter"":{""S"":""Soil Moisture""}}},{""M"":{""threshold"":{""N"":""15""},""type"":{""S"":""WARNING""},""message"":{""S"":""Temperature too low (0.0°C). Plant may be cold.""},""value"":{""N"":""0""},""parameter"":{""S"":""Temperature""}}},{""M"":{""threshold"":{""N"":""40""},""type"":{""S"":""INFO""},""message"":{""S"":""Humidity low (0.0%). Air is dry.""},""value"":{""N"":""0""},""parameter"":{""S"":""Humidity""}}},{""M"":{""threshold"":{""N"":""200""},""type"":{""S"":""INFO""},""message"":{""S"":""Light intensity low (0 lux). Plant may need more light.""},""value"":{""N"":""0""},""parameter"":{""S"":""Light""}}}]","{""temperature"":{""N"":""0""},""humidity"":{""N"":""0""},""light_intensity"":{""N"":""0""},""soil_moisture"":{""N"":""0""}}","1771064757"
"device-001","2026-01-15T10:26:29.753Z","CRITICAL","[{""M"":{""threshold"":{""N"":""20""},""type"":{""S"":""CRITICAL""},""message"":{""S"":""Soil moisture critically low (0.0%). Plant needs immediate watering!""},""value"":{""N"":""0""},""parameter"":{""S"":""Soil Moisture""}}},{""M"":{""threshold"":{""N"":""15""},""type"":{""S"":""WARNING""},""message"":{""S"":""Temperature too low (0.0°C). Plant may be cold.""},""value"":{""N"":""0""},""parameter"":{""S"":""Temperature""}}},{""M"":{""threshold"":{""N"":""40""},""type"":{""S"":""INFO""},""message"":{""S"":""Humidity low (0.0%). Air is dry.""},""value"":{""N"":""0""},""parameter"":{""S"":""Humidity""}}},{""M"":{""threshold"":{""N"":""200""},""type"":{""S"":""INFO""},""message"":{""S"":""Light intensity low (0 lux). Plant may need more light.""},""value"":{""N"":""0""},""parameter"":{""S"":""Light""}}}]","{""temperature"":{""N"":""0""},""humidity"":{""N"":""0""},""light_intensity"":{""N"":""0""},""soil_moisture"":{""N"":""0""}}","1771064789"
"device-001","2026-01-15T10:26:39.445Z","CRITICAL","[{""M"":{""threshold"":{""N"":""20""},""type"":{""S"":""CRITICAL""},""message"":{""S"":""Soil moisture critically low (0.0%). Plant needs immediate watering!""},""value"":{""N"":""0""},""parameter"":{""S"":""Soil Moisture""}}},{""M"":{""threshold"":{""N"":""15""},""type"":{""S"":""WARNING""},""message"":{""S"":""Temperature too low (0.0°C). Plant may be cold.""},""value"":{""N"":""0""},""parameter"":{""S"":""Temperature""}}},{""M"":{""threshold"":{""N"":""40""},""type"":{""S"":""INFO""},""message"":{""S"":""Humidity low (0.0%). Air is dry.""},""value"":{""N"":""0""},""parameter"":{""S"":""Humidity""}}},{""M"":{""threshold"":{""N"":""200""},""type"":{""S"":""INFO""},""message"":{""S"":""Light intensity low (0 lux). Plant may need more light.""},""value"":{""N"":""0""},""parameter"":{""S"":""Light""}}}]","{""temperature"":{""N"":""0""},""humidity"":{""N"":""0""},""light_intensity"":{""N"":""0""},""soil_moisture"":{""N"":""0""}}","1771064799"
"device-001","2026-01-15T10:30:00Z","CRITICAL","[{""M"":{""threshold"":{""N"":""20""},""type"":{""S"":""CRITICAL""},""message"":{""S"":""Soil moisture critically low (18.0%). Plant needs immediate watering!""},""value"":{""N"":""18""},""parameter"":{""S"":""Soil Moisture""}}}]","{""temperature"":{""N"":""28""},""humidity"":{""N"":""55""},""light_intensity"":{""N"":""1200""},""soil_moisture"":{""N"":""18""}}","1771060132"
"device-001","2026-01-19T01:15:05.992Z","CRITICAL","[{""M"":{""threshold"":{""N"":""20""},""type"":{""S"":""CRITICAL""},""message"":{""S"":""Soil moisture critically low (0.0%). Plant needs immediate watering!""},""value"":{""N"":""0""},""parameter"":{""S"":""Soil Moisture""}}},{""M"":{""threshold"":{""N"":""15""},""type"":{""S"":""WARNING""},""message"":{""S"":""Temperature too low (0.0°C). Plant may be cold.""},""value"":{""N"":""0""},""parameter"":{""S"":""Temperature""}}},{""M"":{""threshold"":{""N"":""40""},""type"":{""S"":""INFO""},""message"":{""S"":""Humidity low (0.0%). Air is dry.""},""value"":{""N"":""0""},""parameter"":{""S"":""Humidity""}}},{""M"":{""threshold"":{""N"":""200""},""type"":{""S"":""INFO""},""message"":{""S"":""Light intensity low (0 lux). Plant may need more light.""},""value"":{""N"":""0""},""parameter"":{""S"":""Light""}}}]","{""temperature"":{""N"":""0""},""humidity"":{""N"":""0""},""light_intensity"":{""N"":""0""},""soil_moisture"":{""N"":""0""}}","1771377306"
"device-001","2026-01-19T01:15:27.248Z","CRITICAL","[{""M"":{""threshold"":{""N"":""20""},""type"":{""S"":""CRITICAL""},""message"":{""S"":""Soil moisture critically low (0.0%). Plant needs immediate watering!""},""value"":{""N"":""0""},""parameter"":{""S"":""Soil Moisture""}}},{""M"":{""threshold"":{""N"":""15""},""type"":{""S"":""WARNING""},""message"":{""S"":""Temperature too low (0.0°C). Plant may be cold.""},""value"":{""N"":""0""},""parameter"":{""S"":""Temperature""}}},{""M"":{""threshold"":{""N"":""40""},""type"":{""S"":""INFO""},""message"":{""S"":""Humidity low (0.0%). Air is dry.""},""value"":{""N"":""0""},""parameter"":{""S"":""Humidity""}}},{""M"":{""threshold"":{""N"":""200""},""type"":{""S"":""INFO""},""message"":{""S"":""Light intensity low (0 lux). Plant may need more light.""},""value"":{""N"":""0""},""parameter"":{""S"":""Light""}}}]","{""temperature"":{""N"":""0""},""humidity"":{""N"":""0""},""light_intensity"":{""N"":""0""},""soil_moisture"":{""N"":""0""}}","1771377327"
"device-001","2026-01-19T01:50:03.533Z","CRITICAL","[{""M"":{""threshold"":{""N"":""20""},""type"":{""S"":""CRITICAL""},""message"":{""S"":""Soil moisture critically low (0.0%). Plant needs immediate watering!""},""value"":{""N"":""0""},""parameter"":{""S"":""Soil Moisture""}}},{""M"":{""threshold"":{""N"":""15""},""type"":{""S"":""WARNING""},""message"":{""S"":""Temperature too low (0.0°C). Plant may be cold.""},""value"":{""N"":""0""},""parameter"":{""S"":""Temperature""}}},{""M"":{""threshold"":{""N"":""40""},""type"":{""S"":""INFO""},""message"":{""S"":""Humidity low (0.0%). Air is dry.""},""value"":{""N"":""0""},""parameter"":{""S"":""Humidity""}}},{""M"":{""threshold"":{""N"":""200""},""type"":{""S"":""INFO""},""message"":{""S"":""Light intensity low (0 lux). Plant may need more light.""},""value"":{""N"":""0""},""parameter"":{""S"":""Light""}}}]","{""temperature"":{""N"":""0""},""humidity"":{""N"":""0""},""light_intensity"":{""N"":""0""},""soil_moisture"":{""N"":""0""}}","1771379404"
